VOLKRAJ;KSTRANA;PORCISLO;JMENO;PRIJMENI;TITULPRED;TITULZA;VEK;POVOLANI;BYDLISTEN;BYDLISTEK;PSTRANA;NSTRANA;PLATNOST;POCHLASU;POCPROC;MANDAT;SKRUTINIUM;PORADIMAND;PORADINAHR;POHLAVI
1;3;9;Jaroslava;Richterová;Mgr.;;75;sociální pracovnice - sociálně právní ochrana dětí a rodin, právnička;Praha;1;759;759;A;122;2,61;N;0;0;0;
1;3;10;Tomáš;Finsterle;Ing. et Ing.;;33;vysokoškolský pedagog, vědecký pracovník;Bouzov;500861;759;759;A;125;2,68;N;0;0;0;
1;3;11;Michaela;Teyrovská;Ing.;;53;daňový poradce, auditor;Praha;1;759;759;A;53;1,13;N;0;0;0;
1;3;12;Ziead;Leggieri;Ing.;MBA;54;marketingový manažer;Ptice;532789;759;759;A;22;0,47;N;0;0;0;
1;3;13;Věra;Brožková;;;80;zaměstnanec státní správy, důchodce;Praha;1;99;759;A;9;0,19;N;0;0;0;
1;3;14;Daniel;Lattner;Mgr.;;59;projektový manažer;Praha;1;99;759;A;18;0,38;N;0;0;0;
1;3;15;David;Pokorný;;;62;hudebník, technik specialista;Praha;1;759;759;A;43;0,92;N;0;0;0;
1;3;16;Milan;Markovič;;;46;podnikatel, ředitel Diamond Race;Praha;1;99;759;A;26;0,55;N;0;0;0;
1;3;17;Magda;Pýchová;Ing.;;62;marketingový specialista;Velké Přítočno;533033;99;759;A;11;0,23;N;0;0;0;
1;3;18;Pavel;Majer;;;45;podnikatel, mistr světa v Thajském boxu, trenér bojových sportů;Praha;1;99;759;A;138;2,96;N;0;0;0;
1;3;19;Hana;Buchvaldová;;;68;daňový poradce;Praha;1;759;759;A;17;0,36;N;0;0;0;
1;3;20;Jan;Kadeřábek;;;55;podnikatel průmysl a strojírenství;Praha;1;759;759;A;18;0,38;N;0;0;0;
1;3;21;Roman;Zikmund;;MBA;55;podnikatel, stavebnictví;Praha;1;759;759;A;21;0,45;N;0;0;0;
1;3;22;Petr;Vespalec;Mgr.;;45;učitel;Praha;1;99;759;A;72;1,54;N;0;0;0;
1;3;23;Roman;Nový;;;51;bezpečnostní poradce;Kamenice;538299;759;759;A;13;0,27;N;0;0;0;
1;3;24;Miroslav;Alfery;;;51;podnikatel, finanční poradce;Křížkový Újezdec;538418;759;759;A;7;0,15;N;0;0;0;
1;3;25;Jaroslav;Kejnovský;;;52;řidič z povolání;Praha;1;99;759;A;23;0,49;N;0;0;0;
1;3;26;Ladislava;Šperlingová;;;43;dámská krejčová;Praha;1;759;759;A;59;1,26;N;0;0;0;
1;3;27;Tomáš;Kratochvil;;;48;stavební technik;Praha;1;99;759;A;15;0,32;N;0;0;0;
1;3;28;František;Krejdl;;;56;podnikatel, gastronomie a doprava;Praha;1;759;759;A;12;0,25;N;0;0;0;
1;3;29;Josef;Šperling;;;49;invalidní důchodce, IT technik;Praha;1;759;759;A;34;0,72;N;0;0;0;
1;3;30;Zdeněk;Dudek;;;47;podnikatel - pojišťovnictví, majitel firmy;Praha;1;759;759;A;18;0,38;N;0;0;0;
1;3;31;Michala;Zikmund;;;44;projektový manager, daňový poradce;Praha;1;99;759;A;28;0,6;N;0;0;0;
1;3;32;Tomáš;Mitrovský;;;61;bezpečnostní pracovník;Praha;1;759;759;A;15;0,32;N;0;0;0;
1;3;33;Filip;Robovski;Mgr.;;56;audiospecialista, IT technik, matematik, hudebník;Praha;1;759;759;A;58;1,24;N;0;0;0;
1;3;34;Dana;Vondráčková;;;61;vedoucí školní jídelny;Praha;1;759;759;A;42;0,9;N;0;0;0;
1;3;35;Šárka;Nachlingerová;;;55;finanční poradenství, fyzioterapeut;Praha;1;759;759;A;48;1,03;N;0;0;0;
1;3;36;Richard;Liška;;;46;projektant kybernetické bezpečnosti;Ústí nad Orlicí;579891;759;759;A;83;1,78;N;0;0;0;
