OBVOD;CKAND;VSTRANA;JMENO;PRIJMENI;TITULPRED;TITULZA;VEK;POVOLANI;BYDLISTEN;BYDLISTEK;PSTRANA;NSTRANA;PLATNOST;HLASY_K1;PROC_K1;URIZ_PR_K1;ZVOLEN_K1;LOS_K1;HLASY_K2;PROC_K2;URIZ_PR_K2;ZVOLEN_K2;LOS_K2;NAZEV_VS
23;14;659;"Pavel";"Dungl";"prof. MUDr.";"DrSc.";70;"lékaø, pøednosta ortopedie";"Praha";1;99;721;"A";6932;15.29;15.29162622430071;2;0;8631;45.54;45.54857776135943;0;0;"TOP 09, Starostové a Nezávislí"
23;15;7;"Roman";"Petrus";"";"";40;"starosta MÈ Praha 8";"Praha";1;7;7;"A";2486;5.48;5.48398482308303;0;0;0;0;0;0;0;"Èeská strana sociálnì demokratická"
23;16;1114;"Ludìk";"Kula";"genmjr. PhDr.";"";53;"øeditel bezp.agentury, genmjr.Vìzeò.sluby ÈR-v.v.";"Nová Ves";535117;1114;1114;"A";1849;4.07;4.07879643518927;0;0;0;0;0;0;0;"Svoboda a pøímá demokracie - Tomio Okamura (SPD)"
26;1;1408;"Libor";"Michálek";"Mgr.";"MPA";49;"senátor a ekonom";"Chınì";539309;99;720;"A";5272;15.57;15.57735492258598;2;0;3022;20.24;20.24790619765494;0;0;""Libor Michálek - senátor, kterı plní sliby""
26;2;1194;"Marek";"Hilšer";"MUDr. Bc.";"Ph.D.";42;"lékaø, vysokoškolskı pedagog";"Praha";1;1194;1194;"A";15045;44.45;44.45396525233423;2;0;11903;79.75;79.75209380234505;1;0;""Marek Hilšer do Senátu""
26;3;1114;"Ladislav";"Jakl";"";"";58;"publicista";"Praha";1;99;1114;"A";2159;6.37;6.37926958988299;0;0;0;0;0;0;0;"Svoboda a pøímá demokracie - Tomio Okamura (SPD)"
26;4;55;"Václav";"Srb";"";"";60;"prùvodce, vinárník, tlumoèník";"Praha";1;55;55;"A";234;.69;.69140763503132;0;0;0;0;0;0;0;"Koruna Èeská (monarch.str.Èech, Moravy a Slezska)"
26;5;5;"Ivan";"Gabal";"PhDr.";"";67;"sociolog";"Praha";1;99;5;"A";1818;5.37;5.37170547216641;0;0;0;0;0;0;0;"Strana zelenıch"
26;6;768;"Roman";"Kerekeš";"MUDr.";"";49;"lékaø - kardiolog";"Praha";1;768;768;"A";2911;8.6;8.60122916912894;0;0;0;0;0;0;0;"ANO 2011"
26;7;53;"Vladimír";"Kratina";"";"";66;"herec";"Praha";1;99;53;"A";3964;11.71;11.71256352676988;0;0;0;0;0;0;0;"Obèanská demokratická strana"
26;8;791;"Vladislava";"Hujová";"Ing.";"";55;"ekonomka, starostka MÈ P-3 v období 2010-2018";"Praha";1;99;791;"A";1502;4.43;4.43800969152582;0;0;0;0;0;0;0;"Pro Prahu"
26;9;47;"Vladimír";"Roškot";"Ing.";"";68;"podnikatel v oblasti obchodu";"Praha";1;47;47;"A";939;2.77;2.7744947405744;0;0;0;0;0;0;0;"Komunistická strana Èech a Moravy"
29;1;1209;"Jan";"Vondrouš";"";"";40;"soukromı podnikatel, lektor cizích jazykù";"Bohušovice nad Ohøí";564591;1209;1209;"A";1346;2.88;2.88500696602722;0;0;0;0;0;0;0;"NE-VOLIM.CZ"
29;2;47;"Josef";"Šenfeld";"Ing.";"";56;"zemìdìlskı inenır";"Hoštka";564877;47;47;"A";5261;11.27;11.27639052620297;0;0;0;0;0;0;0;"Komunistická strana Èech a Moravy"
29;3;759;"David";"Rath";"MUDr.";"";52;"lékaø";"Hostivice";539244;99;759;"A";2323;4.97;4.97910191833672;0;0;0;0;0;0;0;"Èeská Suverenita"
29;4;785;"Miroslav";"Jiránek";"MUDr.";"";61;"lékaø - kardiolog";"Litomìøice";564567;99;785;"A";6028;12.92;12.92037295038045;0;0;0;0;0;0;0;"PRO Zdraví a Sport"
29;5;53;"Ladislav";"Chlupáè";"Mgr.";"";66;"starosta";"Litomìøice";564567;53;53;"A";11435;24.5;24.50969885328474;2;0;10930;56.4;56.40999174236168;1;0;"Obèanská demokratická strana"
29;6;1114;"František";"Novotnı";"";"";68;"stavební technik, jednatel spoleènosti";"Litomìøice";564567;1114;1114;"A";1939;4.15;4.15603900975243;0;0;0;0;0;0;0;"Svoboda a pøímá demokracie - Tomio Okamura (SPD)"
29;7;1187;"Libor";"Uhlík";"";"";52;"podnikatel, galerista a poøadatel jarmarkù";"Úštìk";565814;99;1187;"A";5472;11.72;11.72864644732611;0;0;0;0;0;0;0;"SENÁTOR 21"
29;8;80;"Josef";"Dobeš";"Mgr.";"";54;"psycholog";"Slanı";532819;99;80;"A";3738;8.01;8.01200300075018;0;0;0;0;0;0;0;"Mgr. JOSEF DOBEŠ, NEZÁVISLİ KANDIDÁT"
29;9;768;"Ondøej";"Štìrba";"MUDr.";"";47;"lékaø, gastroenterolog";"Litomìøice";564567;768;768;"A";9113;19.53;19.53274032793912;2;0;8446;43.59;43.59000825763831;0;0;"ANO 2011"
32;1;47;"Tomáš";"Zíka";"";"";45;"podnikatel";"Dubí";567507;47;47;"A";3050;8.86;8.86988890827662;0;0;0;0;0;0;0;"Komunistická strana Èech a Moravy"
32;2;724;"Terezie";"Holovská";"PhDr.";"";55;"krizovı manaer";"Praha 6";500178;99;724;"A";642;1.86;1.86703891118478;0;0;0;0;0;0;0;"Strana Práv Obèanù ZEMANOVCI"
32;3;7;"Ivan";"Vinickı";"";"";63;"starosta";"Bystøany";567477;7;7;"A";1508;4.38;4.38550572907578;0;0;0;0;0;0;0;"Èeská strana sociálnì demokratická"
32;4;788;"Josef";"Barta";"";"";67;"ekonom";"Dubí";567507;788;788;"A";491;1.42;1.42790670621764;0;0;0;0;0;0;0;"Obèané Èeské republiky"
32;5;53;"Jaroslav";"Kubera";"";"";71;"senátor (místopøedseda Senátu PÈR), primátor";"Teplice";567442;53;53;"A";14377;41.81;41.81062060140754;2;0;8824;55.6;55.60176433522369;1;0;"Obèanská demokratická strana"
32;6;1114;"Jan";"Zahradníèek";"Bc.";"";42;"vedoucí smìny Sboru dobrovolnıch hasièù";"Duchcov";567515;1114;1114;"A";3814;11.09;11.09172337579247;0;0;0;0;0;0;0;"Svoboda a pøímá demokracie - Tomio Okamura (SPD)"
32;7;721;"Pavel";"Šedlbauer";"Ing.";"";68;"manaer";"Teplice";567442;99;721;"A";2155;6.26;6.26708544174954;0;0;0;0;0;0;0;"TOP 09"
32;8;1187;"Zdenìk";"Bergman";"RNDr.";"";59;"øeditel gymnázia a uèitel";"Teplice";567442;99;1187;"A";7257;21.1;21.10451928110277;2;0;7046;44.39;44.3982356647763;0;0;"SENÁTOR 21"
32;9;137;"Eugen Sigismund";"Freimann";"PhDr. ThDr. Mgr.";"Ph.D., M.A.";57;"vysokoškolskı pedagog";"Teplice";567442;99;137;"A";1092;3.17;3.17571104519281;0;0;0;0;0;0;0;"ROZUMNÍ"
35;1;47;"Šárka";"Kalvová";"Mgr.";"";44;"uèitelka základní školy";"Ralsko";562017;99;47;"A";2334;4.93;4.93560870392691;0;0;0;0;0;0;0;"Komunistická strana Èech a Moravy"
35;2;1187;"Michaela";"Tejmlová";"Mgr.";"LL.M.";41;"právnièka a mediátorka";"Jablonec nad Nisou";563510;99;1187;"A";10505;22.21;22.2144684810421;2;0;9601;43.57;43.57159065123666;0;0;"SENÁTOR 21"
