KRZAST;KSTRANA;VSTRANA;NAZEVCELK;NAZEV_STRK;ZKRATKAK30;ZKRATKAK8;POCSTRVKO;SLOZENI;STAVREG;PLATNOST;SLOZNEPLAT;CPU
11;48;7;Česká strana sociálně demokratická;Česká strana sociálně demokratická;Česká str.sociálně demokrat.;ČSSD;1;007;0;0;
12;53;632;Dělnická strana - za zrušení poplatků ve zdravotnictví;Dělnická strana-za zrušení poplatků ve zdravotn.;Děln.str.-zrušení popl.ve zdr.;DS_POPL;2;153,156;0;0;
12;1;47;Komunistická strana Čech a Moravy;Komunistická strana Čech a Moravy;Komunistická str.Čech a Moravy;KSČM;1;047;0;0;
12;3;129;SNK Evropští demokraté;SNK Evropští demokraté;SNK Evropští demokraté;SNK ED;1;129;1;0;
12;12;1;Křesťanská a demokratická unie - Československá strana lidová;Křesťan.a demokrat.unie-Českosl.strana lidová;Křesť.demokr.unie-Čs.str.lid.;KDU-ČSL;1;001;0;0;
12;16;637;Koalice nestraníků;Koalice nestraníků;Koalice nestraníků;KOALNEST;2;158,181;0;0;
12;18;5;Strana zelených;Strana zelených;Strana zelených;SZ;1;005;0;0;
12;19;83;Moravané;Moravané;Moravané;M;1;083;0;0;
12;32;137;Strana zdravého rozumu;Strana zdravého rozumu;Strana zdravého rozumu;SZR;1;137;0;0;
12;33;11;Sdružení pro republiku-Republikánská strana Československa;Sdružení pro republiku-Republikán.strana Českosl.;Sdruž.pro rep.-Republ.str.Čsl.;SPR-RSČ;1;011;0;0;
12;37;155;SDŽ - Strana důstojného života;SDŽ - Strana důstojného života;SDŽ-Strana důstojného života;SDŽ;1;155;0;0;
12;40;643;STAROSTOVÉ A NEZÁVISLÍ PRO ZLÍNSKÝ KRAJ;STAROSTOVÉ A NEZÁVISLÍ PRO ZLÍNSKÝ KRAJ;STAROSTOVÉ A NEZÁVISLÍ PRO ZK;STAR+NEZ;2;109,166;0;0;
