ESTRANA;PORCISLO;JMENO;PRIJMENI;TITULPRED;TITULZA;VEK;STATOBCAN;POVOLANI;BYDLISTEN;BYDLISTEK;PSTRANA;NSTRANA;PLATNOST;POCHLASU;POCPROC;MANDAT;PORADIMAND;PORADINAHR
7;3;"Radek";"Hlaváèek";"Mgr.";"";28;"CZ";"právník";"Praha";1;7;7;"A";1400;1.49;"N";0;0
7;4;"Zuzana";"Brzobohatá";"Ing. Bc.";"";56;"CZ";"poradkynì, èlenka vıboru EHS";"Tišnov";584002;7;7;"A";1715;1.83;"N";0;0
7;5;"Pavel";"Kawulok";"Mgr.";"";39;"CZ";"právník";"Hrádek";556301;7;7;"A";1204;1.28;"N";0;0
7;6;"Daniela";"Vašátková";"Mgr.";"";29;"CZ";"vìdecká pracovnice - VP Olomouc";"Zábøeh";541354;7;7;"A";1488;1.58;"N";0;0
7;7;"Jaroslav";"Veselı";"Ing.";"";62;"CZ";"starosta";"Raná";566659;99;7;"A";641;.68;"N";0;0
7;8;"Lucie";"Svobodová";"Mgr. Ing.";"";37;"CZ";"právnièka";"Praha";1;7;7;"A";851;.9;"N";0;0
7;9;"Jakub";"Kulhánek";"";"M.A.";34;"CZ";"námìstek ministra vnitra ÈR";"Mìlník";534676;7;7;"A";595;.63;"N";0;0
7;10;"Daniela";"Smetanová";"Mgr.";"";28;"CZ";"poradkynì pro zahranièní politiku";"Praha";1;7;7;"A";590;.62;"N";0;0
7;11;"Roman";"Váòa";"Ing.";"";52;"CZ";"ivnostník";"Olomouc";500496;7;7;"A";1066;1.13;"N";0;0
7;12;"René";"Pøíhoda";"Mgr.";"";33;"CZ";"advokátní koncipient";"Hradec Králové";569810;7;7;"A";367;.39;"N";0;0
7;13;"Lukáš";"Kauckı";"PhDr.";"";37;"CZ";"námìstek ministra zahranièí ÈR";"Praha";1;7;7;"A";668;.71;"N";0;0
7;14;"Jan";"Košák";"Bc.";"";33;"CZ";"pedagog";"Sviadnov";569631;7;7;"A";425;.45;"N";0;0
7;15;"Tomáš";"Binder";"";"";48;"CZ";"soudní tlumoèník";"Èeská Lípa";561380;7;7;"A";315;.33;"N";0;0
7;16;"Milan";"Balahura";"Mgr.";"";32;"CZ";"tajemník ÈSSD";"Praha";1;7;7;"A";341;.36;"N";0;0
7;17;"Radek";"Scherfer";"Mgr.";"";44;"CZ";"èlen org. Krajská zdravotní, a.s.";"Kadaò";563102;7;7;"A";273;.29;"N";0;0
7;18;"Suzan";"Saidamová";"Mgr.";"";26;"CZ";"právnièka";"Havlíèkùv Brod";568414;7;7;"A";411;.43;"N";0;0
7;19;"Tomáš";"Øepa";"Mgr.";"Ph.D.";33;"CZ";"odbornı asistent Univerzity obrany";"Brno";3;7;7;"A";501;.53;"N";0;0
7;20;"Martin";"Špánek";"Bc.";"";25;"CZ";"student ZÈU v Plzni, Fa. filoz., obor mez. vztahy";"Plzeò";2;7;7;"A";343;.36;"N";0;0
7;21;"Gabriel";"Forman";"";"";22;"CZ";"student - Pedagogická fakulta";"Rychnov nad Knìnou";576069;7;7;"A";222;.23;"N";0;0
7;22;"Petr";"Lebeda";"";"";26;"CZ";"obchodní manaer";"Milevsko";549576;7;7;"A";163;.17;"N";0;0
7;23;"Miloš";"Balabán";"PhDr.";"Ph.D.";56;"CZ";"vìdeckı pracovník";"Praha";1;7;7;"A";472;.5;"N";0;0
7;24;"Markéta";"Wernerová";"Ing.";"";35;"CZ";"øeditelka firmy";"Karlovy Vary";554961;7;7;"A";395;.42;"N";0;0
7;25;"Kristián";"Malina";"Bc.";"";33;"CZ";"zahranièní tajemník ÈSSD";"Praha";1;7;7;"A";112;.11;"N";0;0
7;26;"Marcel";"Kuèera";"Mgr.";"";50;"CZ";"hudební pedagog";"Velkı Luh";578002;7;7;"A";182;.19;"N";0;0
7;27;"Tomáš";"Soukal";"Ing.";"";37;"CZ";"radní Jihomoravského kraje";"Rajhrad";583758;7;7;"A";416;.44;"N";0;0
7;28;"Radim";"Technik";"Ing.";"";35;"CZ";"obchodní øeditel";"ïár nad Sázavou";595209;7;7;"A";394;.42;"N";0;0
8;1;"Miroslav";"Tancoš";"";"";59;"CZ";"pøedseda RDS";"Novı Bor";561860;794;794;"A";384;23.25;"N";0;0
8;2;"Štefan";"Gorol'";"";"";62;"CZ";"romskı nezávislı aktivista";"Novı Bor";561860;794;794;"A";279;16.89;"N";0;0
8;3;"Miroslav";"Rusenka";"";"";61;"CZ";"místopøedseda RDS";"Praha";1;794;794;"A";125;7.57;"N";0;0
8;4;"Ladislav";"Sivak";"";"";62;"CZ";"tajemník ÚV RDS";"Praha";1;794;794;"A";168;10.17;"N";0;0
9;1;"Kateøina";"Koneèná";"Ing.";"";38;"CZ";"poslankynì Evropského parlamentu";"Novı Jièín";599191;47;47;"A";38650;23.47;"A";1;0
9;2;"Andrej";"Bóna";"";"";23;"CZ";"student Masarykovy univerzity, redaktor, pøeklad.";"Brno";3;74;47;"A";3046;1.85;"N";0;2
9;3;"Arom";"Korjagin";"";"";31;"CZ";"drustevník v Sociálním drustvu Støecha, provozní";"Praha";1;47;47;"A";1655;1;"N";0;3
9;4;"Roman";"Blaško";"";"";49;"CZ";"redaktor Haló novin, fotograf";"Lubomìø";599646;93;47;"A";2434;1.47;"N";0;4
9;5;"Lukáš";"Paøízek";"Ing.";"";35;"CZ";"provoznì technickı specialista";"Litomìøice";564567;47;47;"A";1481;.89;"N";0;5
9;6;"Dagmar";"Švendová";"";"B.A, LL.M.";41;"CZ";"specialistka v oboru práva a legislativy EU";"Bøeclav";584291;47;47;"A";6862;4.16;"N";0;6
9;7;"Zdenìk";"Štefek";"Ing.";"";44;"CZ";"pøedseda Vıboru pro památkovou péèi";"Buštìhrad";532169;47;47;"A";1504;.91;"N";0;7
9;8;"Kateøina";"Ambroová Srncová";"Ing.";"";37;"CZ";"støedoškolská pedagoka";"Zdounky";589195;47;47;"A";1688;1.02;"N";0;8
9;9;"Petr";"Pick";"Ing.";"Ph.D.";36;"CZ";"vızkumnı pracovník v oboru letectví";"Praha";1;99;47;"A";901;.54;"N";0;9
9;10;"Lubomír";"Ledl";"JUDr.";"";66;"CZ";"poradce ústavního èinitele";"Praha";1;74;47;"A";583;.35;"N";0;10
