ESTRANA;PORCISLO;JMENO;PRIJMENI;TITULPRED;TITULZA;VEK;STATOBCAN;POVOLANI;BYDLISTEN;BYDLISTEK;PSTRANA;NSTRANA;PLATNOST;POCHLASU;POCPROC;MANDAT;PORADIMAND;PORADINAHR
9;11;"Anna";"Vaculíková";"";"";25;"CZ";"øidièka kamionu - dálková pøeprava do zahranièí";"Jindøichùv Hradec";545881;47;47;"A";2364;1.43;"N";0;11
9;12;"Ivan";"Maštálka";"Mgr.";"LL.M., MBA";37;"CZ";"právník";"Plzeò";2;47;47;"A";5139;3.12;"N";0;12
9;13;"Petr";"Bureš";"";"";42;"CZ";"referent zahranièního obchodu";"Štìtí";565709;47;47;"A";554;.33;"N";0;13
9;14;"Richard";"Pokornı";"JUDr. Bc.";"Ph.D.";40;"CZ";"vysokoškolskı uèitel";"Plzeò";2;47;47;"A";1463;.88;"N";0;14
9;15;"Pavla";"Švepeš Šlahúnková";"";"B.A";31;"CZ";"socioloka, pozorovatelka mez. enské sk. pro mír";"Trhové Sviny";545171;47;47;"A";629;.38;"N";0;15
9;16;"Tereza";"Èechová Humpolcová";"Mgr. Ing.";"Ph.D.";32;"CZ";"vedoucí analytického odd., asistentka poslance";"Tišice";535222;47;47;"A";557;.33;"N";0;16
9;17;"Jaromír";"Kohlíèek";"Ing.";"CSc.";66;"CZ";"poslanec EP, èlen Svazu boj. za svobodu";"Teplice";567442;47;47;"A";5778;3.5;"N";0;17
9;18;"Zdenìk";"Ondráèek";"JUDr. PhDr.";"Ph.D.";49;"CZ";"poslanec Parlamentu Èeské republiky";"Trutnov";579025;47;47;"A";10894;6.61;"N";0;1
9;19;"Jiøí";"Hudeèek";"prof. RNDr.";"CSc.";65;"CZ";"profesor Univerzity Karlovy, biochemik";"Praha";1;74;47;"A";649;.39;"N";0;18
9;20;"Eva";"Badinková";"Ing. Bc.";"";52;"CZ";"obèanská zamìstnankynì Policie ÈR";"Bystøice pod Hostınem";588393;47;47;"A";1407;.85;"N";0;19
9;21;"Ludvík";"Šulda";"";"BBA";39;"CZ";"pøedseda Kontrolního vıboru Zast. Olom. kraje";"Seloutky";506770;47;47;"A";543;.32;"N";0;20
9;22;"Josef";"Jordán";"";"";46;"CZ";"servisní technik";"Brtnice";586943;47;47;"A";488;.29;"N";0;21
